# Hook Execution Log
# This file tracks hook execution and results
# Format: [timestamp] hook_name | file | result

[12:44:02] design-auditor | test-logging.tsx | ✓ No violations
[22:39:15] design-auditor | MealPlannerView.tsx | ✓ No violations
[22:39:16] design-auditor | RecipeBrowserView.tsx | ✓ No violations
[22:39:18] design-auditor | AddEditRecipeView.tsx | ✗ 1 violation(s) - BLOCKED
[22:39:20] design-auditor | ImageUploadCard.tsx | ✗ 2 violation(s) - BLOCKED
[22:39:22] design-auditor | IngredientAutocomplete.tsx | ✗ 1 violation(s) - BLOCKED
[22:39:23] memory-refresh | Edit #20 | Reminder injected
[22:39:24] design-auditor | IngredientAutocomplete.tsx | ✗ 1 violation(s) - BLOCKED
[22:39:26] design-auditor | FeedbackDialog.tsx | ✓ No violations
[22:39:28] design-auditor | SafeLink.tsx | ✓ No violations
[23:13:18] context-router | api.ts | Frontend context loaded
[23:14:40] memory-refresh | Edit #10 | Reminder injected
[23:15:01] design-auditor | MealQueueWidget.tsx | ✗ 1 violation(s) - BLOCKED
[23:15:03] design-auditor | IngredientsCard.tsx | ✓ No violations
[23:15:07] design-auditor | AssistantChatContent.tsx | ✗ 1 violation(s) - BLOCKED
[23:15:09] design-auditor | Assistant.tsx | ✓ No violations
[23:15:11] design-auditor | RecentRecipeChip.tsx | ✓ No violations
[23:15:47] design-auditor | MealQueueWidget.tsx | ✓ No violations
[23:15:58] design-auditor | MealQueueWidget.tsx | ✓ No violations
[23:16:04] design-auditor | MealQueueWidget.tsx | ✓ No violations
[23:16:09] memory-refresh | Edit #20 | Reminder injected
[23:16:11] design-auditor | AssistantChatContent.tsx | ✓ No violations
[23:29:54] memory-refresh | Edit #30 | Reminder injected
[23:31:15] memory-refresh | Edit #40 | Reminder injected
[23:38:06] context-router | changelog.ts | Frontend context loaded
[00:06:25] context-router | client.ts | Frontend context loaded
[00:08:05] memory-refresh | Edit #10 | Reminder injected
[16:41:47] context-router | image_generation_dtos.py | Backend context loaded
[16:42:26] context-router | ai.ts | Frontend context loaded
[16:43:19] memory-refresh | Edit #10 | Reminder injected
[16:43:56] design-auditor | ImageUploadCard.tsx | ✗ 2 violation(s) - BLOCKED
[16:44:42] design-auditor | ImageUploadCard.tsx | ✗ 2 violation(s) - BLOCKED
[16:44:51] design-auditor | ImageUploadCard.tsx | ✓ No violations
[16:45:01] design-auditor | ImageUploadCard.tsx | ✓ No violations
[16:45:09] design-auditor | ImageUploadCard.tsx | ✓ No violations
[16:45:23] design-auditor | AddEditRecipeView.tsx | ✗ 1 violation(s) - BLOCKED
[16:45:32] design-auditor | AddEditRecipeView.tsx | ✓ No violations
[18:07:21] memory-refresh | Edit #20 | Reminder injected
[18:07:23] design-auditor | ImageUploadCard.tsx | ✓ No violations
[18:07:31] design-auditor | ImageUploadCard.tsx | ✓ No violations
[18:26:36] design-auditor | ImageUploadCard.tsx | ✓ No violations
[18:31:58] design-auditor | ImageUploadCard.tsx | ✓ No violations
[18:32:05] design-auditor | ImageUploadCard.tsx | ✓ No violations
[18:32:11] design-auditor | ImageUploadCard.tsx | ✓ No violations
[18:32:18] design-auditor | ImageUploadCard.tsx | ✓ No violations
[18:32:25] design-auditor | ImageUploadCard.tsx | ✓ No violations
[18:32:31] design-auditor | ImageUploadCard.tsx | ✓ No violations
[21:59:07] context-router | MealGrid.tsx | Frontend context loaded
[21:59:08] design-auditor | MealGrid.tsx | ✓ No violations
[21:59:19] context-router | MealGrid.tsx | Frontend context loaded
[21:59:20] design-auditor | MealGrid.tsx | ✓ No violations
[22:02:28] context-router | MealGrid.tsx | Frontend context loaded
[22:02:29] design-auditor | MealGrid.tsx | ✓ No violations
[22:05:45] context-router | MealGrid.tsx | Frontend context loaded
[22:05:46] design-auditor | MealGrid.tsx | ✓ No violations
[22:08:50] context-router | MealGrid.tsx | Frontend context loaded
[22:08:52] design-auditor | MealGrid.tsx | ✓ No violations
[22:26:26] context-router | MealPreviewDialog.tsx | Frontend context loaded
[22:26:27] design-auditor | MealPreviewDialog.tsx | ✓ No violations
[22:32:59] context-router | UnitConversionsSection.tsx | Frontend context loaded
[22:33:01] design-auditor | UnitConversionsSection.tsx | ✓ No violations
[22:33:08] context-router | UnitConversionsSection.tsx | Frontend context loaded
[22:33:10] design-auditor | UnitConversionsSection.tsx | ✓ No violations
[22:33:25] context-router | UnitConversionsSection.tsx | Frontend context loaded
[22:33:26] design-auditor | UnitConversionsSection.tsx | ✓ No violations
[22:33:33] context-router | UnitConversionsSection.tsx | Frontend context loaded
[22:33:35] design-auditor | UnitConversionsSection.tsx | ✓ No violations
[22:33:45] context-router | ShoppingListSection.tsx | Frontend context loaded
[22:33:46] design-auditor | ShoppingListSection.tsx | ✓ No violations
[22:35:10] context-router | UnitConversionsSection.tsx | Frontend context loaded
[22:35:12] design-auditor | UnitConversionsSection.tsx | ✓ No violations
[23:03:34] context-router | useRecipeForm.ts | Frontend context loaded
[23:03:42] context-router | useRecipeForm.ts | Frontend context loaded
[23:03:51] context-router | useRecipeForm.ts | Frontend context loaded
[23:03:59] context-router | useRecipeForm.ts | Frontend context loaded
[23:04:13] context-router | IngredientRow.tsx | Frontend context loaded
[23:04:15] design-auditor | IngredientRow.tsx | ✓ No violations
[23:04:21] context-router | IngredientRow.tsx | Frontend context loaded
[23:04:22] design-auditor | IngredientRow.tsx | ✓ No violations
[23:04:32] context-router | IngredientRow.tsx | Frontend context loaded
[23:04:33] design-auditor | IngredientRow.tsx | ✓ No violations
[23:04:40] context-router | RecipeInfoCard.tsx | Frontend context loaded
[23:04:42] design-auditor | RecipeInfoCard.tsx | ✓ No violations
[23:04:49] memory-refresh | Edit #10 | Reminder injected
[23:04:49] context-router | RecipeInfoCard.tsx | Frontend context loaded
[23:04:51] design-auditor | RecipeInfoCard.tsx | ✓ No violations
[23:04:57] context-router | RecipeInfoCard.tsx | Frontend context loaded
[23:04:58] design-auditor | RecipeInfoCard.tsx | ✓ No violations
[23:05:04] context-router | IngredientsCard.tsx | Frontend context loaded
[23:05:06] design-auditor | IngredientsCard.tsx | ✓ No violations
[23:05:13] context-router | IngredientsCard.tsx | Frontend context loaded
[23:05:14] design-auditor | IngredientsCard.tsx | ✓ No violations
[23:05:20] context-router | IngredientsCard.tsx | Frontend context loaded
[23:05:22] design-auditor | IngredientsCard.tsx | ✓ No violations
[23:05:28] context-router | DirectionsNotesCard.tsx | Frontend context loaded
[23:05:29] design-auditor | DirectionsNotesCard.tsx | ✓ No violations
[23:05:36] context-router | DirectionsNotesCard.tsx | Frontend context loaded
[23:05:37] design-auditor | DirectionsNotesCard.tsx | ✓ No violations
[23:07:08] context-router | DirectionsNotesCard.tsx | Frontend context loaded
[23:07:10] design-auditor | DirectionsNotesCard.tsx | ✓ No violations
[23:07:11] context-router | ImageUploadCard.tsx | Frontend context loaded
[23:07:12] design-auditor | ImageUploadCard.tsx | ✓ No violations
[23:07:13] context-router | ImageUploadCard.tsx | Frontend context loaded
[23:07:14] design-auditor | ImageUploadCard.tsx | ✓ No violations
[23:07:20] memory-refresh | Edit #20 | Reminder injected
[23:07:20] context-router | ImageUploadCard.tsx | Frontend context loaded
[23:07:22] design-auditor | ImageUploadCard.tsx | ✓ No violations
[00:23:28] context-router | MealPreviewPanel.tsx | Frontend context loaded
[00:23:30] design-auditor | MealPreviewPanel.tsx | ✓ No violations
[00:23:43] context-router | MealPreviewPanel.tsx | Frontend context loaded
[00:23:44] design-auditor | MealPreviewPanel.tsx | ✓ No violations
[00:23:53] context-router | MealPreviewPanel.tsx | Frontend context loaded
[00:23:55] design-auditor | MealPreviewPanel.tsx | ✓ No violations
[00:24:07] context-router | MealPreviewDialog.tsx | Frontend context loaded
[00:24:08] design-auditor | MealPreviewDialog.tsx | ✓ No violations
[00:24:19] context-router | MealPreviewDialog.tsx | Frontend context loaded
[00:24:20] design-auditor | MealPreviewDialog.tsx | ✓ No violations
[14:42:24] context-router | quantityUtils.ts | Frontend context loaded
[14:42:38] context-router | api-client.ts | Frontend context loaded
[14:42:41] context-router | RecipeCard.tsx | Frontend context loaded
[14:42:42] design-auditor | RecipeCard.tsx | ✓ No violations
[14:42:51] context-router | api-server.ts | Frontend context loaded
[14:42:55] context-router | RecipeCard.tsx | Frontend context loaded
[14:42:57] design-auditor | RecipeCard.tsx | ✓ No violations
[14:43:04] context-router | RecipeCard.tsx | Frontend context loaded
[14:43:05] design-auditor | RecipeCard.tsx | ✓ No violations
[14:43:12] context-router | RecipeCard.tsx | Frontend context loaded
[14:43:13] design-auditor | RecipeCard.tsx | ✓ No violations
[14:43:21] context-router | RecipeCard.tsx | Frontend context loaded
[14:43:23] design-auditor | RecipeCard.tsx | ✓ No violations
[14:43:29] context-router | RecipeCard.tsx | Frontend context loaded
[14:43:31] design-auditor | RecipeCard.tsx | ✓ No violations
[14:43:33] context-router | useLocalStorageState.ts | Frontend context loaded
[14:43:43] context-router | RecipeRouletteWidget.tsx | Frontend context loaded
[14:43:45] design-auditor | RecipeRouletteWidget.tsx | ✓ No violations
[14:43:46] context-router | MealGridCard.tsx | Frontend context loaded
[14:43:47] design-auditor | MealGridCard.tsx | ✓ No violations
[14:43:48] memory-refresh | Edit #10 | Reminder injected
[14:43:48] context-router | CompletedDropdown.tsx | Frontend context loaded
[14:43:50] design-auditor | CompletedDropdown.tsx | ✓ No violations
[14:43:50] context-router | RecipeStats.tsx | Frontend context loaded
[14:43:52] design-auditor | RecipeStats.tsx | ✓ No violations
[14:43:52] context-router | useChatHistory.ts | Frontend context loaded
[14:43:52] context-router | SelectedMealCard.tsx | Frontend context loaded
[14:43:54] design-auditor | SelectedMealCard.tsx | ✓ No violations
[14:43:54] context-router | utils.ts | Frontend context loaded
[14:43:57] context-router | BackupRestore.tsx | Frontend context loaded
[14:43:58] design-auditor | BackupRestore.tsx | ✓ No violations
[14:43:59] context-router | ExportImport.tsx | Frontend context loaded
[14:44:01] design-auditor | ExportImport.tsx | ✓ No violations
[14:44:01] context-router | DeleteData.tsx | Frontend context loaded
[14:44:03] context-router | RecipeRouletteWidget.tsx | Frontend context loaded
[14:44:03] design-auditor | DeleteData.tsx | ✓ No violations
[14:44:04] design-auditor | RecipeRouletteWidget.tsx | ✓ No violations
[14:44:05] context-router | MealGridCard.tsx | Frontend context loaded
[14:44:06] context-router | useRecentRecipes.ts | Frontend context loaded
[14:44:07] design-auditor | MealGridCard.tsx | ✓ No violations
[14:44:08] context-router | CompletedDropdown.tsx | Frontend context loaded
[14:44:09] design-auditor | CompletedDropdown.tsx | ✓ No violations
[14:44:10] context-router | RecipeStats.tsx | Frontend context loaded
[14:44:11] design-auditor | RecipeStats.tsx | ✓ No violations
[14:44:12] context-router | RecipeStats.tsx | Frontend context loaded
[14:44:13] design-auditor | RecipeStats.tsx | ✓ No violations
[14:44:14] context-router | SelectedMealCard.tsx | Frontend context loaded
[14:44:15] context-router | InlineGroupCreator.tsx | Frontend context loaded
[14:44:16] design-auditor | SelectedMealCard.tsx | ✓ No violations
[14:44:17] context-router | recipe-utils.ts | Frontend context loaded
[14:44:18] design-auditor | InlineGroupCreator.tsx | ✗ 1 violation(s) - BLOCKED
[14:44:21] context-router | index.ts | Frontend context loaded
[14:44:24] context-router | useChatScroll.ts | Frontend context loaded
[14:44:36] context-router | index.ts | Frontend context loaded
[14:44:37] context-router | InlineGroupCreator.tsx | Frontend context loaded
[14:44:39] design-auditor | InlineGroupCreator.tsx | ✓ No violations
[14:44:41] context-router | SelectedMealCard.tsx | Frontend context loaded
[14:44:42] design-auditor | SelectedMealCard.tsx | ✓ No violations
[14:44:45] context-router | InlineGroupCreator.tsx | Frontend context loaded
[14:44:46] design-auditor | InlineGroupCreator.tsx | ✓ No violations
[14:44:50] context-router | AssistantChatContent.tsx | Frontend context loaded
[14:44:51] design-auditor | AssistantChatContent.tsx | ✓ No violations
[14:44:53] context-router | InlineGroupCreator.tsx | Frontend context loaded
[14:44:53] context-router | ImageUploadCard.tsx | Frontend context loaded
[14:44:54] design-auditor | InlineGroupCreator.tsx | ✓ No violations
[14:44:54] design-auditor | ImageUploadCard.tsx | ✓ No violations
[14:45:04] context-router | AssistantChatContent.tsx | Frontend context loaded
[14:45:05] design-auditor | AssistantChatContent.tsx | ✓ No violations
[14:45:05] context-router | ShoppingListView.tsx | Frontend context loaded
[14:45:06] context-router | ManageGroupsDialog.tsx | Frontend context loaded
[14:45:06] design-auditor | ShoppingListView.tsx | ✗ 1 violation(s) - BLOCKED
[14:45:07] design-auditor | ManageGroupsDialog.tsx | ✗ 2 violation(s) - BLOCKED
[14:45:18] context-router | SavedMealCard.tsx | Frontend context loaded
[14:45:19] context-router | Assistant.tsx | Frontend context loaded
[14:45:19] design-auditor | SavedMealCard.tsx | ✓ No violations
[14:45:20] design-auditor | Assistant.tsx | ✓ No violations
[14:45:23] context-router | ManageGroupsDialog.tsx | Frontend context loaded
[14:45:25] design-auditor | ManageGroupsDialog.tsx | ✓ No violations
[14:45:29] context-router | RecipeStats.tsx | Frontend context loaded
[14:45:30] context-router | Assistant.tsx | Frontend context loaded
[14:45:31] design-auditor | RecipeStats.tsx | ✓ No violations
[14:45:31] design-auditor | Assistant.tsx | ✓ No violations
[14:45:33] context-router | ManageGroupsDialog.tsx | Frontend context loaded
[14:45:33] memory-refresh | Edit #20 | Reminder injected
[14:45:34] context-router | RecipeRouletteWidget.tsx | Frontend context loaded
[14:45:34] design-auditor | ManageGroupsDialog.tsx | ✓ No violations
[14:45:35] design-auditor | RecipeRouletteWidget.tsx | ✓ No violations
[14:45:42] context-router | ManageGroupsDialog.tsx | Frontend context loaded
[14:45:43] design-auditor | ManageGroupsDialog.tsx | ✓ No violations
[14:45:50] context-router | ManageGroupsDialog.tsx | Frontend context loaded
[14:45:51] design-auditor | ManageGroupsDialog.tsx | ✓ No violations
[14:46:02] memory-refresh | Edit #10 | Reminder injected
[14:46:02] context-router | ManageGroupsDialog.tsx | Frontend context loaded
[14:46:04] design-auditor | ManageGroupsDialog.tsx | ✓ No violations
[14:46:16] context-router | RecipePreferencesSection.tsx | Frontend context loaded
[14:46:18] design-auditor | RecipePreferencesSection.tsx | ✓ No violations
[14:46:24] memory-refresh | Edit #10 | Reminder injected
[14:46:24] context-router | BackupRestore.tsx | Frontend context loaded
[14:46:24] context-router | RecipePreferencesSection.tsx | Frontend context loaded
[14:46:25] design-auditor | BackupRestore.tsx | ✓ No violations
[14:46:26] design-auditor | RecipePreferencesSection.tsx | ✓ No violations
[14:46:33] context-router | BackupRestore.tsx | Frontend context loaded
[14:46:34] design-auditor | BackupRestore.tsx | ✓ No violations
[14:46:38] context-router | RecipePreferencesSection.tsx | Frontend context loaded
[14:46:39] design-auditor | RecipePreferencesSection.tsx | ✓ No violations
[14:46:43] context-router | BackupRestore.tsx | Frontend context loaded
[14:46:44] design-auditor | BackupRestore.tsx | ✓ No violations
[14:46:59] context-router | BackupRestore.tsx | Frontend context loaded
[14:47:01] design-auditor | BackupRestore.tsx | ✓ No violations
[14:47:18] context-router | ExportImport.tsx | Frontend context loaded
[14:47:19] design-auditor | ExportImport.tsx | ✓ No violations
[14:47:27] context-router | ExportImport.tsx | Frontend context loaded
[14:47:29] design-auditor | ExportImport.tsx | ✓ No violations
[14:47:37] context-router | ExportImport.tsx | Frontend context loaded
[14:47:38] design-auditor | ExportImport.tsx | ✓ No violations
[14:47:47] context-router | ExportImport.tsx | Frontend context loaded
[14:47:48] design-auditor | ExportImport.tsx | ✓ No violations
[14:48:05] context-router | ExportImport.tsx | Frontend context loaded
[14:48:06] design-auditor | ExportImport.tsx | ✓ No violations
[14:48:15] context-router | ExportImport.tsx | Frontend context loaded
[14:48:16] design-auditor | ExportImport.tsx | ✓ No violations
[14:48:33] memory-refresh | Edit #20 | Reminder injected
[14:48:33] context-router | DeleteData.tsx | Frontend context loaded
[14:48:34] design-auditor | DeleteData.tsx | ✓ No violations
[14:48:52] context-router | SelectedMealCard.tsx | Frontend context loaded
[14:48:53] design-auditor | SelectedMealCard.tsx | ✓ No violations
[14:49:10] context-router | ImageUploadCard.tsx | Frontend context loaded
[14:49:11] design-auditor | ImageUploadCard.tsx | ✓ No violations
[14:49:28] context-router | ShoppingListView.tsx | Frontend context loaded
[14:49:29] design-auditor | ShoppingListView.tsx | ✗ 1 violation(s) - BLOCKED
[14:49:54] context-router | SavedMealCard.tsx | Frontend context loaded
[14:49:55] design-auditor | SavedMealCard.tsx | ✓ No violations
[14:50:18] context-router | RecipeStats.tsx | Frontend context loaded
[14:50:19] design-auditor | RecipeStats.tsx | ✓ No violations
[15:15:02] context-router | api-client.ts | Frontend context loaded
[15:15:05] context-router | api-server.ts | Frontend context loaded
[15:20:17] context-router | constants.ts | Frontend context loaded
[15:20:49] context-router | ChatMessageList.tsx | Frontend context loaded
[15:20:50] design-auditor | ChatMessageList.tsx | ✓ No violations
[15:21:06] context-router | Assistant.tsx | Frontend context loaded
[15:21:07] design-auditor | Assistant.tsx | ✓ No violations
[15:21:31] context-router | Assistant.tsx | Frontend context loaded
[15:21:32] design-auditor | Assistant.tsx | ✓ No violations
[15:22:01] context-router | AssistantChatContent.tsx | Frontend context loaded
[15:22:02] design-auditor | AssistantChatContent.tsx | ✓ No violations
[15:22:30] context-router | AssistantChatContent.tsx | Frontend context loaded
[15:22:31] design-auditor | AssistantChatContent.tsx | ✓ No violations
[16:46:45] context-router | quantityUtils.ts | Frontend context loaded
[16:46:53] context-router | quantityUtils.ts | Frontend context loaded
[16:47:13] context-router | recipe-utils.ts | Frontend context loaded
[16:47:35] context-router | useChatScroll.ts | Frontend context loaded
[16:48:00] context-router | Assistant.tsx | Frontend context loaded
[16:48:01] design-auditor | Assistant.tsx | ✓ No violations
[16:48:02] context-router | AssistantChatContent.tsx | Frontend context loaded
[16:48:03] design-auditor | AssistantChatContent.tsx | ✓ No violations
[16:48:24] context-router | useRecentRecipes.ts | Frontend context loaded
[17:55:20] context-router | ChefTipWidget.tsx | Frontend context loaded
[17:55:22] design-auditor | ChefTipWidget.tsx | ✗ 1 violation(s) - BLOCKED
[17:55:38] context-router | RecipeRouletteWidget.tsx | Frontend context loaded
[17:55:40] design-auditor | RecipeRouletteWidget.tsx | ✓ No violations
[17:55:40] context-router | ShoppingListWidget.tsx | Frontend context loaded
[17:55:42] design-auditor | ShoppingListWidget.tsx | ✗ 1 violation(s) - BLOCKED
[17:56:11] context-router | MealPlannerView.tsx | Frontend context loaded
[17:56:12] design-auditor | MealPlannerView.tsx | ✓ No violations
[17:56:18] context-router | MealPlannerView.tsx | Frontend context loaded
[17:56:21] design-auditor | MealPlannerView.tsx | ✓ No violations
[17:56:27] context-router | MealPlannerView.tsx | Frontend context loaded
[17:56:29] design-auditor | MealPlannerView.tsx | ✓ No violations
[17:56:31] context-router | SelectedMealCard.tsx | Frontend context loaded
[17:56:33] design-auditor | SelectedMealCard.tsx | ✓ No violations
[17:56:35] context-router | RecipeCard.tsx | Frontend context loaded
[17:56:38] design-auditor | RecipeCard.tsx | ✓ No violations
[17:56:39] memory-refresh | Edit #10 | Reminder injected
[17:56:39] context-router | MealPlannerView.tsx | Frontend context loaded
[17:56:39] context-router | SidebarContent.tsx | Frontend context loaded
[17:56:39] context-router | RecipeCard.tsx | Frontend context loaded
[17:56:44] design-auditor | MealPlannerView.tsx | ✓ No violations
[17:56:44] design-auditor | SidebarContent.tsx | ✓ No violations
[17:56:44] design-auditor | RecipeCard.tsx | ✓ No violations
[17:56:46] context-router | RecipeCard.tsx | Frontend context loaded
[17:56:48] design-auditor | RecipeCard.tsx | ✓ No violations
[17:56:49] context-router | multi-select.tsx | Frontend context loaded
[17:56:51] design-auditor | multi-select.tsx | ✓ No violations
[17:56:51] context-router | useRecipeGroups.ts | Frontend context loaded
[17:56:55] context-router | useRecipeFilters.ts | Frontend context loaded
[17:56:58] context-router | filterUtils.ts | Frontend context loaded
[17:57:01] context-router | useRecipeView.ts | Frontend context loaded
[17:57:04] context-router | ImageUploadCard.tsx | Frontend context loaded
[17:57:06] design-auditor | ImageUploadCard.tsx | ✓ No violations
[17:57:06] context-router | IngredientRow.tsx | Frontend context loaded
[17:57:08] design-auditor | IngredientRow.tsx | ✓ No violations
[17:57:09] memory-refresh | Edit #20 | Reminder injected
[17:57:09] context-router | useRecipeForm.ts | Frontend context loaded
[17:57:12] context-router | SettingsView.tsx | Frontend context loaded
[17:57:14] design-auditor | SettingsView.tsx | ✓ No violations
[17:57:15] context-router | RecipePreferencesSection.tsx | Frontend context loaded
[17:57:16] design-auditor | RecipePreferencesSection.tsx | ✓ No violations
[17:57:17] context-router | ShoppingListView.tsx | Frontend context loaded
[17:57:19] design-auditor | ShoppingListView.tsx | ✗ 1 violation(s) - BLOCKED
[17:57:20] context-router | ShoppingListView.tsx | Frontend context loaded
[17:57:22] design-auditor | ShoppingListView.tsx | ✗ 1 violation(s) - BLOCKED
[17:58:15] context-router | useUnsavedChanges.ts | Frontend context loaded
[17:58:19] context-router | AddToMealPlanDialog.tsx | Frontend context loaded
[17:58:21] design-auditor | AddToMealPlanDialog.tsx | ✗ 1 violation(s) - BLOCKED
[17:58:22] context-router | FullRecipeView.tsx | Frontend context loaded
[17:58:24] design-auditor | FullRecipeView.tsx | ✗ 1 violation(s) - BLOCKED
[17:58:24] context-router | RecipeHeaderCard.tsx | Frontend context loaded
[17:58:26] design-auditor | RecipeHeaderCard.tsx | ✗ 1 violation(s) - BLOCKED
[17:58:27] context-router | RecipeNotFound.tsx | Frontend context loaded
[17:58:29] design-auditor | RecipeNotFound.tsx | ✓ No violations
[17:58:30] memory-refresh | Edit #30 | Reminder injected
[17:58:30] context-router | PrintPreviewDialog.tsx | Frontend context loaded
[17:58:32] design-auditor | PrintPreviewDialog.tsx | ✓ No violations
[17:58:33] context-router | RecipePrintLayout.tsx | Frontend context loaded
[17:58:35] design-auditor | RecipePrintLayout.tsx | ✗ 1 violation(s) - BLOCKED
[17:59:44] context-router | ShoppingListWidget.tsx | Frontend context loaded
[17:59:45] design-auditor | ShoppingListWidget.tsx | ✗ 1 violation(s) - BLOCKED
[17:59:46] context-router | MealPlannerView.tsx | Frontend context loaded
[17:59:48] design-auditor | MealPlannerView.tsx | ✓ No violations
[17:59:49] context-router | MealPlannerView.tsx | Frontend context loaded
[17:59:50] design-auditor | MealPlannerView.tsx | ✓ No violations
[17:59:51] context-router | MealPlannerView.tsx | Frontend context loaded
[17:59:53] design-auditor | MealPlannerView.tsx | ✓ No violations
[17:59:54] context-router | RecipeCard.tsx | Frontend context loaded
[17:59:55] design-auditor | RecipeCard.tsx | ✓ No violations
[18:00:13] context-router | IngredientRow.tsx | Frontend context loaded
[18:00:15] design-auditor | IngredientRow.tsx | ✓ No violations
[18:00:15] context-router | useRecipeForm.ts | Frontend context loaded
[18:00:18] context-router | RecipePreferencesSection.tsx | Frontend context loaded
[18:00:20] design-auditor | RecipePreferencesSection.tsx | ✓ No violations
[18:01:37] memory-refresh | Edit #40 | Reminder injected
[18:01:37] context-router | MealPlannerView.tsx | Frontend context loaded
[18:01:39] design-auditor | MealPlannerView.tsx | ✓ No violations
[18:43:25] memory-refresh | Edit #10 | Reminder injected
[19:03:16] context-router | constants.ts | Frontend context loaded
[19:03:23] lint-on-stop | ✗ 0 problems (0 errors, 0 warnings) - BLOCKED
[20:50:10] context-router | useLocalStorageState.ts | Frontend context loaded
[20:50:36] context-router | page.tsx | Frontend context loaded
[20:50:38] design-auditor | page.tsx | ✓ No violations
[20:50:43] context-router | ThemeToggle.tsx | Frontend context loaded
[20:50:45] design-auditor | ThemeToggle.tsx | ✓ No violations
[20:50:56] context-router | SidebarContent.tsx | Frontend context loaded
[20:50:57] design-auditor | SidebarContent.tsx | ✓ No violations
[20:51:24] context-router | useRecipeView.ts | Frontend context loaded
[20:51:37] memory-refresh | Edit #10 | Reminder injected
[20:51:37] context-router | ManageGroupsDialog.tsx | Frontend context loaded
[20:51:38] design-auditor | ManageGroupsDialog.tsx | ✓ No violations
[20:51:45] context-router | AssistantPopup.tsx | Frontend context loaded
[20:51:46] design-auditor | AssistantPopup.tsx | ✓ No violations
[20:52:01] context-router | AssistantPopup.tsx | Frontend context loaded
[20:52:02] design-auditor | AssistantPopup.tsx | ✓ No violations
[20:52:06] context-router | ShoppingCategory.tsx | Frontend context loaded
[20:52:08] design-auditor | ShoppingCategory.tsx | ✓ No violations
[20:52:15] context-router | AISuggestions.tsx | Frontend context loaded
[20:52:16] design-auditor | AISuggestions.tsx | ✓ No violations
[20:52:48] context-router | ShoppingCategory.tsx | Frontend context loaded
